company_id,year,printed_name,name_key
C00205,1932,üsociation dll Commerce d'lm.portation,usociation dll commerce lm portation
C00206,1938,!Jl du Comite de Sunrcillancc de The Egyptian Della Hicc Mills Co,jl comite sunrcillancc egyptian della hicc mills co
C00207,1938,""" Asatra », S. A. E",asatra s e
C00208,1938,""" Nationale n, Société Anonymecl'Assun",nationale n anonymecl assun
C00209,1938,"""é de la Marconi Radio Telegraph Co. of Egypt, S.A.E",e marconi radio telegraph co egypt s e
C00210,1938,"& Engineering Co., S.A.E",engineering co
C00211,1938,"'' Bcsso"" S.A. pe1· l'Esporlazionc(Milnno)",bcsso s pe1 esporlazionc milnno
C00212,1938,'aLion de la Société r\nonyme des Bières Bomonti & Pymmiclcs,alion r nonyme bieres bomonti pymmiclcs
C00213,1938,'la· Near East,near east
C00214,1938,-1Jéiégu6 clc la Société Française des Comlmsliblcs Liquides,1jeiegu6 clc francaise comlmsliblcs liquides
C00215,1938,-Dircc,dircc
C00216,1938,-Dit·ecteur de la S.A. des Anc,dit ecteur s anc
C00217,1938,-Dél6gué de,del6gue
C00218,1938,"-Dél6gué de la Nile Oil Co., S.A.E",del6gue nile oil co s e
C00219,1938,-Généml des Postes Egyptiennes,geneml postes egyptiennes
C00220,1938,-Propriétaire du Journal «Al-Abram»,proprielaire journal al ah ram
C00083,1938,1\oubbch Gardcns,koubbeh gardens
C00109,1938,A. de Wadi Kom Ombo,wadi kom ombo
C00221,1938,Abuza & Co,abuza co
C00222,1938,Aclminislrulion cie l'Egyplinn General Omnibus,aclminislrulion cie egyplinn general omnibus
C00223,1938,Aclnünislration de la Société Egyptiennecl 'Entreprises U t·baincs cL Rurales,aclnunislration egyptiennecl entreprises u t baincs cl rurales
C00224,1938,"Admli1istration du Banco Italo-Egiziano. ""Vallacc, Duu('an, 13u·rrister at Lem•",admli1istration banco italo egiziano vallacc duu an 13u rrister at lem
C00225,1938,Adn1inisLraiion de The Cairo Elcclric Hailways & Heliopolis Oascs Co. cL de la S.A. des Eaux du Caire,adn1inislraiion cairo elcclric hailways heliopolis oascs co cl s eaux caire
C00226,1938,African Enterprise& Development Co,african enterprise development co
C00227,1938,Agence du Crédit Lyonnais à Alexandrie,agence credit lyonnais alexandrie
C00005,1938,Alcxandria & 1\.amleh Railway Co,alexa11 dria ramleh raih ay co
C00006,1938,"Alcxandria Commercial Co., S.A",alexandria commercial co
C00005,1938,Alexandria & Hamleh Hailways Co,alexa11 dria ramleh raih ay co
C00005,1938,Alexandria & Ramleh Railways Co,alexa11 dria ramleh raih ay co
C00005,1938,Alexandria & Ramleh Railways Co. Ud,alexa11 dria ramleh raih ay co
C00005,1938,Alexandria & Ramlel1 Railways Co,alexa11 dria ramleh raih ay co
C00006,1938,Alexandria Commercial Co,alexandria commercial co
C00006,1938,"Alexandria Commercial Co., S.A.E",alexandria commercial co
C00010,1938,Alexandria Exchange Co,alexandria exchange co
C00001,1938,Alexandria Insumnce Co,alexandria insurance co
C00001,1938,Alexandria Insurance Co,alexandria insurance co
C00001,1938,"Alexandria Insurance Co., S. A. E",alexandria insurance co
C00001,1938,Alexandria Insurance Cy,alexandria insurance co
C00228,1938,Alexandria Navigation Co. ct Commissairrfln Gouvernement Egyptien à l'Exposition Internationale 1937 de Paris,alexandria navigation co ct commissairrfln gouvernement egyptien exposition internationale 1937 paris
C00008,1938,Alexandria Pressing Co,alexandria pressing co
C00008,1938,"Alexandria Pressing Co., S.A.E",alexandria pressing co
C00229,1938,Alexandria Transport Co,alexandria transport co
C00229,1938,"Alexandria Transport Co., S.A.E",alexandria transport co
C00001,1938,Alexandria lnsumncc Co,alexandria insurance co
C00005,1938,Alexandria& Ramleh Railways Co,alexa11 dria ramleh raih ay co
C00009,1938,Alexandria\Vater Co,alexandria water company
C00010,1938,Alexandrin Exchangc Company,alexandria exchange co
C00008,1938,Alexandrin Pressing Cy,alexandria pressing co
C00230,1938,"Alexandrin. Na\'igntion Co., S.i\..E. el de l'Alexunclria Navigation Co. (l.onrlon) Lld",alexandrin na igntion co s i e el alexunclria navigation co onrlon lld
C00008,1938,"Alexandrin. Pressing Co, S.A.E",alexandria pressing co
C00001,1938,Alexauclria Insurance Cy,alexandria insurance co
C00231,1938,Ang\o-Belgia..n Co. of Egypt Ltd,ang o belgia n co egypt
C00232,1938,Anglo Egyptian Oilfields,anglo egyptian oilfields
C00013,1938,Anglo-American Nilo & TourisL Co,hon anglo american nile tourist co
C00012,1938,Anglo-Belgian Co,anglo belgian co egypt
C00012,1938,Anglo-Belgian Co. of Egypt Ltd,anglo belgian co egypt
C00233,1938,Anglo-Egyptian Motor,anglo egyptian motor
C00232,1938,Anglo-Egyptian Oilfields,anglo egyptian oilfields
C00232,1938,Anglo-Egyptio.n Oilfields,anglo egyptian oilfields
C00234,1938,Assicurazioni Generali (Trieste),assicurazioni generali trieste
C00200,1938,B&nque d'Athènes,banque athenes
C00235,1938,Banca Commerciale Italiana per l'Egitto,banca commerciale italiana per egitto
C00236,1938,Banco Ilalo-Egiziano ct de la Société des Cign.rettes Nestor Gianaclis,banco ilalo egiziano ct cign rettes nestor gianaclis
C00016,1938,Banco Italo-Egiziano,banco italo egiziano
